,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
87,Pat Connaughton,1747.0,426.0,1056.0,43.0,36.0,81.0,127.0,99.0
285,Monte Morris,1974.0,700.0,428.0,52.0,29.0,86.0,162.0,34.0
326,Michael Porter Jr.,1359.0,94.0,627.0,52.0,43.0,80.0,56.0,69.0
106,Spencer Dinwiddie,4123.0,1587.0,888.0,39.0,27.0,81.0,216.0,91.0
130,Bryn Forbes,2868.0,421.0,581.0,42.0,39.0,80.0,125.0,6.0
345,Glenn Robinson III,2604.0,345.0,1085.0,44.0,34.0,77.0,209.0,75.0
212,Stanley Johnson,2669.0,592.0,1335.0,38.0,30.0,74.0,370.0,98.0
394,Noah Vonleh,2056.0,319.0,2177.0,46.0,33.0,61.0,167.0,159.0
361,Landry Shamet,2388.0,405.0,452.0,42.0,41.0,82.0,117.0,35.0
217,Derrick Jones Jr.,1584.0,171.0,828.0,48.0,22.0,69.0,162.0,170.0
370,Dennis Smith Jr.,2987.0,1114.0,758.0,38.0,28.0,67.0,279.0,94.0
293,Raul Neto,1653.0,582.0,441.0,45.0,37.0,82.0,193.0,25.0
22,RJ Barrett,1849.0,319.0,617.0,42.0,35.0,68.0,100.0,33.0
344,Mitchell Robinson,1331.0,90.0,1103.0,70.0,0.0,55.0,139.0,325.0
18,Marvin Bagley III,1621.0,107.0,843.0,49.0,28.0,69.0,57.0,90.0
202,Justin Jackson,2215.0,369.0,836.0,43.0,33.0,79.0,122.0,53.0
57,Bruce Brown,1317.0,410.0,747.0,46.0,30.0,74.0,155.0,86.0
403,P.J. Washington,1317.0,255.0,636.0,44.0,38.0,71.0,100.0,111.0
35,Khem Birch,1246.0,242.0,1150.0,52.0,16.0,69.0,125.0,145.0
385,Gary Trent Jr.,2245.0,220.0,387.0,40.0,36.0,72.0,157.0,36.0
420,Justise Winslow,2304.0,690.0,1375.0,40.0,26.0,63.0,239.0,97.0
102,Matthew Dellavedova,2740.0,1822.0,872.0,37.0,34.0,87.0,220.0,22.0
341,Duncan Robinson,1801.0,215.0,460.0,43.0,38.0,82.0,73.0,34.0
81,Brandon Clarke,1215.0,161.0,604.0,57.0,33.0,71.0,81.0,87.0
298,Kendrick Nunn,1638.0,346.0,325.0,45.0,36.0,88.0,101.0,26.0
